Time [s],delta GENCLS 0,omega GENCLS 0,a Bus 0,a Bus 1,v Bus 0,v Bus 1,q Slack 0,p Slack 0,Id GENCLS 0,Iq GENCLS 0,vd GENCLS 0,vq GENCLS 0,tm GENCLS 0,te GENCLS 0,vf GENCLS 0,XadIfd GENCLS 0,Pe GENCLS 0,Qe GENCLS 0,psid GENCLS 0,psiq GENCLS 0
1.433333333333334458e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
1.466666666666667895e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
1.500000000000001332e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
1.533333333333334769e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
1.566666666666668206e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
1.600000000000001643e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
1.633333333333335080e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
1.666666666666668517e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
1.700000000000001954e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
1.733333333333335391e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
1.766666666666668828e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
1.800000000000002265e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
1.833333333333335702e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
1.866666666666669139e+00,8.888523387345631521e-01,1.000000000000000000e+00,6.809407887227831481e-17,-8.514663032418090527e-02,1.000000000000000666e+00,9.587799643632234359e-01,1.283907677645842682e+00,3.030464121547298273e+00,3.161948848356066932e+00,9.133516283902402000e-01,7.763488841317043310e-01,6.303034270154803664e-01,3.030464121547297829e+00,3.030464121547297829e+00,3.317959948118136992e+00,3.317959948118136992e+00,3.030464121547297829e+00,1.283907677645842238e+00,6.303034270154803664e-01,-7.763488841317043310e-01
